iter	MultiClass
550	0.8056718177
551	0.8054237922
552	0.8050169605
553	0.8046593893
554	0.8043474739
555	0.8041397078
556	0.8037196122
557	0.8034979042
558	0.8031263105
559	0.8023973084
560	0.8020139102
561	0.8016397628
562	0.8013971691
563	0.8010470637
564	0.8008319965
565	0.8005214554
566	0.8002015784
567	0.7999427652
568	0.7994987211
569	0.7992022424
570	0.7988670467
571	0.7984757089
572	0.7982288034
573	0.7979302758
574	0.797638564
575	0.7972719882
576	0.7969308007
577	0.7965406611
578	0.7963402181
579	0.7960079599
580	0.7956912482
581	0.7952776515
582	0.7948289291
583	0.7944920611
584	0.794270964
585	0.793774473
586	0.7934535743
587	0.7930776468
588	0.792709131
589	0.7925070221
590	0.7920684064
591	0.7916805669
592	0.791372236
593	0.7908680702
594	0.7904396698
595	0.7901929306
596	0.7898459045
597	0.7895800418
598	0.7891780116
599	0.7888743016
600	0.7886047528
601	0.7882589
602	0.7880699787
603	0.7877825818
604	0.7875056581
605	0.7872090474
606	0.786827459
607	0.7864817837
608	0.7861650904
609	0.7858386642
610	0.785500049
611	0.7851767324
612	0.7848884506
613	0.7846217671
614	0.784331508
615	0.7839502257
616	0.7836813873
617	0.7833872212
618	0.7830658867
619	0.7827909914
620	0.7825349208
621	0.7822073088
622	0.7818729915
623	0.7814879315
624	0.7811907877
625	0.7807788313
626	0.7802803382
627	0.7798827239
628	0.779593061
629	0.7793619107
630	0.7789014111
631	0.7786393821
632	0.7784313588
633	0.7781257938
634	0.7777680326
635	0.777503545
636	0.7771896383
637	0.7767114359
638	0.7763874319
639	0.7759562025
640	0.7757055788
641	0.7753723701
642	0.7751929706
643	0.7749323566
644	0.7745598117
645	0.7741925945
646	0.7737196455
647	0.7734161988
648	0.7731153546
649	0.7729564903
650	0.7726024597
651	0.7722770579
652	0.7720152963
653	0.7717770873
654	0.7714855295
655	0.7711974082
656	0.7709361702
657	0.7706738763
658	0.7703006912
659	0.7700771936
660	0.7698659236
661	0.7695592245
662	0.7691616107
663	0.7687862584
664	0.7685470699
665	0.7682399978
666	0.7680296007
667	0.7676819351
668	0.7673689645
669	0.7670786832
670	0.7665680438
671	0.7662966878
672	0.7659453834
673	0.7655538259
674	0.7651616894
675	0.7649586908
676	0.7646328931
677	0.7643241694
678	0.7640462741
679	0.7636915082
680	0.7634455422
681	0.7630887988
682	0.7626912083
683	0.762375545
684	0.7621367942
685	0.7617373644
686	0.7613978593
687	0.7610026911
688	0.7606837967
689	0.7602882396
690	0.7600398785
691	0.7597518818
692	0.7595679585
693	0.7592613904
694	0.7590027661
695	0.7587539923
696	0.7584268908
697	0.7582343027
698	0.7579597234
699	0.7576948408
700	0.7574513009
701	0.757042181
702	0.7566715519
703	0.7563721424
704	0.7560154812
705	0.7557401158
706	0.7554922145
707	0.7552023923
708	0.754886942
709	0.7545137117
710	0.754348701
711	0.7540754298
712	0.7538826187
713	0.753577601
714	0.7533416277
715	0.7529510224
716	0.7526613301
717	0.7522774132
718	0.7518189245
719	0.7514516362
720	0.7511685475
721	0.7508039419
722	0.7505648828
723	0.7502818393
724	0.749974542
725	0.7497185953
726	0.749441334
727	0.7490382314
728	0.7487933769
729	0.7484602997
730	0.7480918355
731	0.7478119628
732	0.7475410603
733	0.747256682
734	0.7469385015
735	0.7466650865
736	0.7464291523
737	0.7461738458
738	0.7458360142
739	0.7454902007
740	0.7452361046
741	0.7449359524
742	0.7444733616
743	0.7441720178
744	0.7438571447
745	0.7434643944
746	0.7431326479
747	0.7428253573
748	0.7426063793
749	0.7422196239
750	0.7420016164
751	0.7417379754
752	0.7413910507
753	0.741088147
754	0.7406959721
755	0.7404919734
756	0.7402267641
757	0.7400390179
758	0.7397436003
759	0.7395467919
760	0.7393942228
761	0.7390998977
762	0.7387393407
763	0.7385437633
764	0.7382170548
765	0.7378514494
766	0.737506566
767	0.7372059175
768	0.7369424788
769	0.7365373027
770	0.7362421112
771	0.7359855607
772	0.7357142933
773	0.7353988521
774	0.735099847
775	0.7347385531
776	0.7344856807
777	0.7341612341
778	0.7338865419
779	0.7335670085
780	0.7332861644
781	0.732930544
782	0.7325355795
783	0.7322621516
784	0.7319863125
785	0.7317551671
786	0.7314786931
787	0.7311763075
788	0.7308405306
789	0.7305553837
790	0.7302301165
791	0.7299819948
792	0.7297280373
793	0.7294363616
794	0.7291514146
795	0.7288964689
796	0.7286438843
797	0.7282676165
798	0.7280027651
799	0.7277751575
